% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=682949, Tue Apr 21 22:01:56 2015
0 0 25 0 0 25.0 25.0002083342 25.0004166701 25.0006250078 25.0008333472 25.0010416884
1 9 22.6647921179 0 0 21.8062342656 22.2067141308 23.7107346392 22.0505544948 21.8675540632 22.0342537911
2 18 22.9095224012 0 0 20.8234052926 23.1203720645 24.725429486 21.9087728128 22.302868958 21.4254622744
3 27 24.0981861384 0 0 23.7224571222 23.9621480092 26.056045874 21.4342990268 23.6233000549 23.3443571195
4 36 26.3861694851 0 0 26.4645090772 25.485627133 28.5005853403 24.1733502565 26.4940400852 24.8944370802
5 45 24.9714647585 0 0 24.4711296134 23.5962200344 26.5554494758 22.3828187931 24.7580018739 24.2964503681
6 54 23.9849433678 0 0 23.3207063723 22.4884054408 24.9810460193 20.9911951546 23.0365880086 22.9904330446
7 63 25.3974164095 0 0 26.0442252795 24.1043960091 26.2812776295 22.8057914879 23.7416893405 24.2180418464
8 72 26.7475506424 0 0 27.6192339745 24.8903376892 27.2575099792 23.4754160268 29.7403159917 24.4434721068
9 81 25.1826684257 0 0 25.3256200664 22.8081614954 26.0017840727 21.9901136809 27.2190182285 21.9556519631
10 90 28.3942792854 0 0 28.5375186846 25.2637990352 30.6719278552 27.7616573535 31.8403618269 24.1227103736
11 99 29.2639404143 0 0 29.8161599618 25.6212023889 31.9052764584 28.7370145528 32.9819109995 24.3000520098
12 108 27.057508536 0 0 27.0947648787 23.608340913 28.823126675 26.2237685652 28.5807703784 22.129401895
13 117 26.6447735819 0 0 27.095905096 23.0899773804 28.1462650799 25.1664988383 29.0503244136 21.3359171117
14 126 26.9812261447 0 0 27.8795455557 22.9401388904 27.2212366861 27.1608400085 28.4557654584 21.2696600632
15 135 25.79424728 0 0 27.6709549047 21.2688688508 25.2902206008 25.631193263 27.8554096024 19.6284456622
16 144 25.0409224524 0 0 26.3375245119 20.7457108113 24.5121822195 24.5529296874 27.1654226812 18.0028011022
17 153 25.2773835953 0 0 25.5745456959 20.6016698955 24.7139323298 24.7254134008 26.9945913549 17.3945606689
18 162 26.5663354795 0 0 26.3140575999 22.266249089 25.4875010662 24.9069024562 32.6275179303 17.7805505834
19 171 24.1619132967 0 0 23.3417889025 20.0693935213 22.8875192628 22.5527498774 29.2886801689 15.9010910345
20 180 23.9017090981 0 0 22.698848261 19.4982941414 23.0852298709 21.632821724 29.517336145 15.2693145626
21 189 22.6999528422 0 0 20.5058101296 18.5674672853 22.1355518442 20.4335549358 28.196905709 14.1284269622
22 198 22.9960560324 0 0 20.7525341172 18.7710355219 21.9707682326 20.6600298273 27.3464486715 14.7634899454
23 207 20.9873430854 0 0 18.687149965 16.6207826434 19.7409587509 18.5903385681 23.8196344971 13.2424315898
24 216 19.521942854 0 0 17.093983368 14.7808658452 18.2283296923 16.7770969366 21.8123051883 13.01987419
25 225 17.421893987 0 0 15.0038834635 13.3102773941 16.0629738271 14.5585435419 19.2100776216 11.3041261125
26 234 17.9262236116 0 0 15.3749193648 13.5324263172 15.6322004627 15.8533791959 20.6627042467 11.6005664805
