% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=682949, Tue Apr 21 22:01:56 2015
59 531 33.008270882 6.46408981036 -10.0 -8.5000000000000000e+00 -8.0 -7.5   
60 540 31.826257155 6.19608836479 -10.0 -8.5000000000000000e+00 -7.5 -7.5   
61 549 28.7799352021 6.23217357545 -10.0 -9.0000000000000000e+00 -8.0 -7.0   
62 558 27.5100039911 6.67496286489 -10.0 -9.0000000000000000e+00 -8.0 -7.5   
63 567 25.5635129499 6.50984293105 -10.0 -9.5000000000000000e+00 -8.5 -7.5   
64 576 24.9617458938 6.82677593973 -10.0 -8.5000000000000000e+00 -8.0 -8.0   
65 585 23.3314938663 6.67630350849 -10.0 -8.5000000000000000e+00 -8.0 -7.0   
66 594 21.9792716767 6.56887882643 -10.0 -9.0000000000000000e+00 -8.5 -7.5   
67 603 23.3971629206 6.7398475387 -10.0 -8.5000000000000000e+00 -8.0 -7.5   
68 612 23.3814813778 6.7021398624 -10.0 -9.0000000000000000e+00 -8.5 -7.5   
69 621 22.2583194109 6.73543854445 -10.0 -9.0000000000000000e+00 -8.0 -7.0   
70 630 21.0365313094 6.71421013464 -10.0 -9.0000000000000000e+00 -8.0 -7.0   
71 639 21.4110314742 6.6942438492 -10.0 -8.5000000000000000e+00 -8.0 -7.5   
72 648 21.7377179367 6.7170769025 -10.0 -9.0000000000000000e+00 -8.5 -7.5   
73 657 25.640737912 6.99190182878 -10.0 -8.5000000000000000e+00 -8.0 -8.0   
74 666 22.6874445475 7.27924616009 -10.0 -9.5000000000000000e+00 -8.5 -7.0   
75 675 21.1085771656 7.29697768062 -10.0 -8.5000000000000000e+00 -8.0 -7.0   
76 684 21.5149393979 7.38266090062 -10.0 -8.5000000000000000e+00 -8.0 -7.5   
77 693 20.3471675785 6.81583279646 -10.0 -9.0000000000000000e+00 -8.0 -7.5   
78 702 19.4688213547 6.36482583271 -10.0 -9.0000000000000000e+00 -8.0 -7.5   
79 711 19.7961944747 6.37367164368 -10.0 -9.0000000000000000e+00 -8.0 -7.0   
80 720 18.3005978862 6.26880701365 -10.0 -9.0000000000000000e+00 -8.0 -7.5   
81 729 16.8264771233 6.57543903045 -10.0 -9.0000000000000000e+00 -8.5 -7.5   
82 738 17.8050763622 6.95725418391 -10.0 -9.0000000000000000e+00 -8.0 -7.5   
83 747 17.2751427564 7.49258788514 -10.0 -9.0000000000000000e+00 -8.5 -7.5   
84 756 15.9972396953 7.84279133808 -10.0 -9.0000000000000000e+00 -8.0 -7.0   
85 765 16.0385229317 7.99603821251 -10.0 -9.5000000000000000e+00 -8.0 -7.5   
